n_estimators,max_depth,learning_rate,subsample,avg_logloss,avg_accuracy,prediction,up_prob,down_prob
150,7,0.05,1.0,0.988737437436086,0.4997237751282178,UP,0.9065566658973694,0.09344333410263062
300,3,0.1,0.5,0.9898385739448937,0.5582119867851824,UP,0.9514911770820618,0.04850882291793823
250,3,0.1,0.8,0.991737187183463,0.5369289291270195,UP,0.8206279873847961,0.17937201261520386
200,3,0.1,1.0,0.9918254305049489,0.53332563751601,UP,0.9515200257301331,0.04847997426986694
300,7,0.03,1.0,0.9924356797610946,0.5231231825502839,UP,0.9388207197189331,0.061179280281066895
50,9,0.2,0.8,0.9962591362948264,0.5202166372576505,UP,0.7218725681304932,0.27812743186950684
300,9,0.03,1.0,0.9980012728406112,0.5281405805944469,UP,0.8123820424079895,0.1876179575920105
300,9,0.05,0.8,0.9992357566381216,0.5433934156785787,UP,0.8430063128471375,0.15699368715286255
300,5,0.05,1.0,0.9993452276031363,0.534657288763557,UP,0.9314448237419128,0.06855517625808716
200,5,0.1,0.5,1.0030869842431598,0.5138222376138568,UP,0.9425534605979919,0.05744653940200806
50,7,0.2,0.8,1.005952374354343,0.5040774089282475,DOWN,0.4408750832080841,0.5591249465942383
300,7,0.05,0.8,1.0061340520516815,0.5375816993464052,UP,0.8883891105651855,0.11161088943481445
200,9,0.05,1.0,1.007713855267488,0.5296811183121973,UP,0.8979296684265137,0.10207033157348633
100,5,0.2,0.5,1.009481331781133,0.5329202328534441,UP,0.5717913508415222,0.4282086491584778
200,7,0.1,0.5,1.0106527921125255,0.5210480603791839,UP,0.9423511028289795,0.05764889717102051
300,3,0.1,0.8,1.0200044622655258,0.5419545726897431,UP,0.829422116279602,0.17057788372039795
150,5,0.1,1.0,1.0261927715261094,0.5303132747351814,UP,0.9185000061988831,0.08149999380111694
200,5,0.1,0.8,1.026578740462052,0.5449202108653948,UP,0.936809241771698,0.063190758228302
100,3,0.2,1.0,1.02734475030934,0.5201492988560718,UP,0.8610709309577942,0.1389290690422058
150,7,0.1,0.8,1.0279501499320378,0.5226985383444097,UP,0.931297242641449,0.06870275735855103
200,7,0.05,1.0,1.0313885631666815,0.502428305216115,UP,0.9304969906806946,0.06950300931930542
